Chainage,Mandatory,Cautionary,Informatory
332+507,0,0,0
332+517,0,0,0
332+527,0,0,0
332+537,0,0,0
332+547,0,0,0
332+557,0,0,0
332+567,0,0,0
332+577,0,1,0
332+587,0,0,0
,0,0,0
332+597,0,0,0
332+607,0,0,0
332+617,0,0,0
332+627,0,0,1
332+637,0,0,0
332+647,0,0,0
332+657,0,0,0
332+667,0,0,0
332+677,0,0,0
332+687,0,0,0
332+697,0,0,0
332+707,0,0,0
332+717,0,0,0
332+737,0,0,0
332+747,0,0,0
332+757,0,0,0
332+767,0,0,1
332+777,0,0,0
332+787,0,0,0
332+797,0,0,0
332+817,0,0,0
332+827,0,0,0
332+837,0,0,0
332+847,1,0,0
332+857,0,0,0
332+867,0,0,0
332+887,0,0,0
332+897,0,0,0
332+907,0,0,0
332+917,0,0,0
332+937,0,0,0
332+947,1,0,0
332+957,0,0,0
332+967,0,0,0
332+977,0,0,1
332+997,0,0,0
333+007,0,0,0
333+017,0,0,0
333+027,0,1,0
333+037,0,0,0
333+057,0,1,0
333+067,0,0,0
333+077,0,0,0
333+087,0,0,0
333+097,0,1,0
333+107,0,0,0
333+117,0,0,0
333+127,0,0,0
333+137,0,0,0
333+147,0,0,0
333+157,0,0,0
333+177,0,0,0
333+187,0,0,0
333+197,0,0,0
,0,0,0
333+207,0,0,0
333+217,0,0,0
333+227,0,2,0
333+237,0,0,0
333+247,0,0,0
333+257,0,0,0
333+267,0,0,0
333+277,0,0,0
333+287,0,0,0
333+297,0,0,0
333+307,0,0,0
333+327,0,0,0
333+337,0,0,0
333+347,0,0,0
333+357,0,0,0
333+377,0,0,0
333+387,0,0,0
333+397,0,0,0
333+407,0,0,0
333+427,0,0,0
333+437,0,0,0
333+447,0,0,0
333+467,0,0,0
333+477,0,1,0
333+497,0,1,0
333+507,0,0,0
333+517,0,0,0
333+537,0,0,0
333+547,0,0,0
333+567,0,0,0
333+577,0,0,0
333+597,0,0,0
333+607,0,0,0
333+617,0,0,0
333+637,0,0,0
333+647,0,0,0
333+657,0,0,0
333+677,0,0,0
